,CountryCode,CountryName,Quarters,Year,value,YQ,date
1777,RUS,Russia,Q1,2022,-15538,2022-Q1,01/01/2022
1778,RUS,Russia,Q1,2013,27765,2013-Q1,01/01/2013
1779,RUS,Russia,Q1,2014,11288,2014-Q1,01/01/2014
1780,RUS,Russia,Q1,2015,6956,2015-Q1,01/01/2015
1781,RUS,Russia,Q1,2016,1298,2016-Q1,01/01/2016
1782,RUS,Russia,Q1,2017,10186,2017-Q1,01/01/2017
1783,RUS,Russia,Q1,2018,7968,2018-Q1,01/01/2018
1784,RUS,Russia,Q1,2019,9852,2019-Q1,01/01/2019
1785,RUS,Russia,Q1,2020,-3421,2020-Q1,01/01/2020
1786,RUS,Russia,Q1,2021,5464,2021-Q1,01/01/2021
1787,RUS,Russia,Q2,2022,-8777,2022-Q2,01/04/2022
1788,RUS,Russia,Q2,2013,8480,2013-Q2,01/04/2013
1789,RUS,Russia,Q2,2014,12886,2014-Q2,01/04/2014
1790,RUS,Russia,Q2,2015,2467,2015-Q2,01/04/2015
1791,RUS,Russia,Q2,2016,8445,2016-Q2,01/04/2016
1792,RUS,Russia,Q2,2017,7971,2017-Q2,01/04/2017
1793,RUS,Russia,Q2,2018,6565,2018-Q2,01/04/2018
1794,RUS,Russia,Q2,2019,6848,2019-Q2,01/04/2019
1795,RUS,Russia,Q2,2020,2376,2020-Q2,01/04/2020
1796,RUS,Russia,Q2,2021,6003,2021-Q2,01/04/2021
1797,RUS,Russia,Q3,2013,9784,2013-Q3,01/07/2013
1798,RUS,Russia,Q3,2014,649,2014-Q3,01/07/2014
1799,RUS,Russia,Q3,2015,152,2015-Q3,01/07/2015
1800,RUS,Russia,Q3,2016,4886,2016-Q3,01/07/2016
1801,RUS,Russia,Q3,2017,7713,2017-Q3,01/07/2017
1802,RUS,Russia,Q3,2018,3916,2018-Q3,01/07/2018
1803,RUS,Russia,Q3,2019,8248,2019-Q3,01/07/2019
1804,RUS,Russia,Q3,2020,3493,2020-Q3,01/07/2020
1805,RUS,Russia,Q3,2021,13219,2021-Q3,01/07/2021
1806,RUS,Russia,Q4,2013,7368,2013-Q4,01/10/2013
1807,RUS,Russia,Q4,2014,4328,2014-Q4,01/10/2014
1808,RUS,Russia,Q4,2015,2283,2015-Q4,01/10/2015
1809,RUS,Russia,Q4,2016,22547,2016-Q4,01/10/2016
1810,RUS,Russia,Q4,2017,83,2017-Q4,01/10/2017
1811,RUS,Russia,Q4,2018,-5221,2018-Q4,01/10/2018
1812,RUS,Russia,Q4,2019,7127,2019-Q4,01/10/2019
1813,RUS,Russia,Q4,2020,7963,2020-Q4,01/10/2020
1814,RUS,Russia,Q4,2021,13840,2021-Q4,01/10/2021
